finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info
[cab] pk-gpt remove dado panel 2 ea which found dirty for send to shop,"['warning :', 'remove dado panel 2 ea which dirty, and']","[0.0, 1.0]","['gah210zz', 'gah210zz']",nan
[cab] pk-gpt remove dado panel 3 ea which found dirty for send to shop,"['warning :', 'remove dado panel 3 ea which dirty, and']","[0.0, 1.0]","['gah210zz', 'gah210zz']",nan
"[cab] pk-gpt remove dado panel 3 ea which found dirty for send to shop. (post seat 21 ac, 21hk, 22 ac)","['warning :', 'remove dado panel 3 ea, and record posit']","[0.0, 1.0]","['cgk3t3zz', 'cgk3t3zz']",nan
[cab] pk-gpt repair dado panel laminate 2 ea,"['warning :', 'repair fabric laminate dado panel 2 ea']","[0.0, 8.0]","['w401', 'w401']",0
[cab] pk-gpt repair dado panel laminate 3 ea,"['warning :', 'repair fabric laminate dado panel 3 ea']","[0.0, 8.0]","['w401', 'w401']",0
[cab] pk-gpt repair dado panel laminate 4 ea,"['warning :', 'repair fabric laminate dado panel 4 ea']","[0.0, 8.0]","['w401', 'w401']",0
[cab] pk-gpx cpx110384k1-cord coil handset pos door 2l taken for pk-gha,"['warning :', 'install handset cord post 2l and close c']","[0.0, 1.0]","['gah210zz', 'gah210zz']",0
[crew request] pk-gha install 2 ea wheelchair,"['warning :', 'install 2 ea wheelchair to support chart', 'take picture after wheelchair installati']","[0.0, 1.0, 0.0]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",nan
[dgca finding] pk-gha measure c/class and y/class seat pitch,"['follow all procedures according to the m', 'measure the pitch of c/class seats betwe', 'measure the pitch of y/class zone b seat', 'measure the pitch of y/class zone c seat']","[0.0, 0.4, 0.6, 0.6]","['cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1']",nan
[fabricate] pk-gha fabricate ottoman footrest all c/class,"['caution:', 'fabricate ottoman / footrest cover all c']","[0.0, 1.0]","['w502', 'w502']",nan
"[fabricate] pk-ghc placard ashtray found missing, need fabricate qty 30 ea","['warning:', 'do fabricate ashtray 30 ea']","[0.0, 5.0]","['w403', 'w403']",nan
[fadr] pk-gpo actual check oxy mask condition at all position,"['note :', 'do actual check condition of disposal ox']","[0.0, 0.5]","['cgk3t3zz', 'cgk3t3zz']",nan
[finding] pk-gha check actual and take picture condition seat pan on bisness class condition.,"['warning :', 'perform inventory check seatpan on all b']","[0.0, 3.0]","['cgk3t3zz', 'cgk3t3zz']",nan
"[finding] pk-gha footrest cover 6ad, 7ag","['caution :', 'remove footrest cover 6ad, 7ag due to te', 'install new footrest cover 6ad, 7ag']","[0.0, 0.0, 0.5]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",nan
[finding] pk-gha remove armrest which found discoloration qty 4 ea and send to shop,"['warning :', 'remove armrest qty 4 ea which found disc']","[0.0, 1.0]","['gah210zz', 'gah210zz']",nan
[finding] pk-gha replace ottoman carpet 10d,"['caution', 'remove c/class ottoman carpet of seat 10', 'install new c/class ottoman carpet of se']","[0.0, 0.0, 0.5]","['gah260c1', 'gah260c1', 'cgk3t3zz']",0
[finding] pk-gha replace placard escape slide d/t blur,"['caution :', 'replace all placard expired date escape']","[0.0, 0.5]","['cgk3t3zz', 'cgk3t3zz']",nan
[finding] pk-gha replacement carpet aisle zone a and entry door 1.2,"['caution :', 'remove carpet aisle zone a (a.asl-1, a.a', 'install new carpet aisle zone a (a.asl-1']","[0.0, 0.0, 1.0]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",0
[finding] pk-gpo inspect all oven screw on all galley area,"['warning:', 'do inspect completeness screw which inst', 'do inspect completeness screw which inst', 'do inspect completeness screw which inst']","[1.0, 0.0, 0.0, 0.0]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",nan
[finding] pk-gpo install toilet assy position l74,"['warning:', 'install toilet assy post l74 and close o']","[0.0, 1.0]","['gah210zz', 'gah210zz']",0
[finding] pk-gpt mapping ceiling panel all position,"['warning :', 'mapping ceiling panel all position. and']","[0.0, 1.0]","['cgk3t3c1', 'cgk3t3c1']",nan
[ga request] pk-gha install stretcher case for ga 408,"['caution :', 'do remove lock pin on recline backrest s', 'do install stretcher case', 'do putback aircraft on serviceable condi']","[0.0, 1.0, 4.0, 0.0]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",nan
[ga request] pk-gha relaminate armcap leather 4ea,"['warning:', 'remove armrest 4 ea for relaminate', 'install new armcap leather 4ea after rel']","[0.0, 1.0, 1.0]","['gah210zz', 'gah210zz', 'gah210zz']",nan
[ga request] pk-gha remove stretcher case after ga 411,"['caution :', 'do remove stretcher case', 'do install lock pin on recline backrest', 'do remove bumper on smart monitor post s']","[0.0, 2.0, 1.0, 1.0]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",nan
[ga request] pk-gha remove wheelchair 2 ea ex para games,"['warning :', 'remove wheelchair 2 ea and send wheelcha']","[0.0, 1.0]","['cgk3t3zz', 'cgk3t3zz']",nan
[ga request] pk-gpt install stretcher case for ga 836,"['caution :', 'do remove lock pin on recline backrest s', 'do install stretcher case', 'do putback aircraft on serviceable condi']","[0.0, 1.0, 4.0, 0.0]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",nan
[ga request] pk-gpt install stretcher case for ga 894,"['caution :', 'do remove lock pin on recline backrest s', 'do install stretcher case', 'do putback aircraft on serviceable condi']","[0.0, 1.0, 4.0, 0.0]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",0
[ga request] pk-gpt remove stretcher case after ga 895,"['caution :', 'do remove stretcher case', 'do install lock pin on recline backrest', 'do remove bumper on smart monitor post s']","[0.0, 2.0, 1.0, 1.0]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",nan
[ga request] pk-gpt remove stretcher case ex ga 837,"['caution :', 'do remove stretcher case', 'do install lock pin on recline backrest', 'do remove bumper on smart monitor post s']","[0.0, 2.0, 1.0, 1.0]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",nan
[hajj program] pk-gha hajj seat numbering for hajj flight 22 jun 2023,"['warning :', 'install hajj seat numbering placard for']","[0.0, 3.0]","['soc1t1zz', 'soc1t1zz']",nan
[hajj program] pk-gha hajj seat numbering removal ex hajj flight 4 aug 2023,"['warning :', 'remove hajj seat numbering placard for a']","[0.0, 3.0]","['cgk3t3zz', 'cgk3t3zz']",nan
[inspection] check all pax and attendant seatbelt condition,"['caution:', 'perform inpection on all pax and attenda', 'if there are any discrepencies, write it', 'caution:', 'perform inpection on all pax and attenda', 'if there are any discrepencies, write it']","[0.0, 2.0, 0.2, 0.0, 0.0, 0.0]","['gah260c1', 'gah260c1', 'gah260c1', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",nan
[inventory check] pk-gpo zone b psu oxygen generator,"['caution:', 'perfrom inventory check of all zone b ox']","[0.0, 1.0]","['gah260c1', 'gah260c1']",nan
[inventory check] pk-gpt all pob to find ineffective p/n,"['perform inventory check of all pob', 'replace the ineffective pob with p/n 355']","[1.5, 0.2]","['cgk3t3c1', 'cgk3t3c1']","3552aaawaacxcd:53655 (cylinder, portable oxygen)"
[inventory] pk-gha inventory check for gaca completation (include picture) ref position : eel form doc no : 10000030360/000/11 and lopa form doc no : 10000030300/000/05 ef,"['inventory check elt portable battery exp', 'take and send picture of above elt porta', 'do actual check on portable breathing eq', 'do take picture of portable breathing eq', 'please send all pictures that already ta', 'please stamp this mdr and sent back to c']","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","['gah210c1', 'gah210c1', 'gah210c1', 'gah210c1', 'gah210c1', 'gah210c1']",nan
[inventory] pk-gha inventory check for gaca ref position : eel form doc no : 10000096838/000/05 and lopa form doc no : 10000096819/000/03,"['inventory check elt portable battery exp', 'inventory check first aid kit expiry dat', 'inventory check portable halon fire exti', 'inventory check portable halon fire exti', 'inventory check portable oxygen cylinder', 'inventory check life raft / evacuation s', 'inventory check escape slide / emergency', 'inventory check exit path with escape sl', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check portable breathing equip', 'inventory check portable breathing equip', 'please send all pictures that already ta', 'please stamp this mdr and sent back to s', 'inventory check elt portable battery exp', 'inventory check first aid kit expiry dat', 'inventory check portable halon fire exti', 'inventory check portable halon fire exti', 'inventory check portable oxygen cylinder', 'inventory check life raft / evacuation s', 'inventory check escape slide / emergency', 'inventory check exit path with escape sl', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check portable breathing equip', 'inventory check portable breathing equip', 'please send all pictures that already ta', 'please stamp this mdr and sent back to s', 'inventory check elt portable battery exp', 'inventory check first aid kit expiry dat', 'inventory check portable halon fire exti', 'inventory check portable halon fire exti', 'inventory check portable oxygen cylinder', 'inventory check life raft / evacuation s', 'inventory check escape slide / emergency', 'inventory check exit path with escape sl', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check portable breathing equip', 'inventory check portable breathing equip', 'please send all pictures that already ta', 'please stamp this mdr and sent back to s']","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","['gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1']",nan
[inventory] pk-gpo inventory check for gaca (include picture),"['inventory check elt portable battery exp', 'inventory check first aid kit expiry dat', 'inventory check portable halon fire exti', 'inventory check portable halon fire exti', 'inventory check portable oxygen cylinder', 'inventory check life raft / evacuation s', 'inventory check escape slide / emergency', 'inventory check exit path with escape sl', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check portable breathing equip', 'inventory check portable breathing equip', 'please send all pictures that already ta']","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",nan
[inventory] pk-gpo inventory check for gaca (include picture)ref position : eel form doc no : 10000069574/000/04 and lopa form doc no : 10000118714/000/00,"['inventory check elt portable battery exp', 'inventory check first aid kit expiry dat', 'inventory check portable halon fire exti', 'inventory check portable halon fire exti', 'inventory check portable oxygen cylinder', 'inventory check life raft / evacuation s', 'inventory check escape slide / emergency', 'inventory check exit path with escape sl', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check portable breathing equip', 'inventory check portable breathing equip', 'please send all pictures that already ta', 'please stamp this mdr and sent back to c', 'inventory check elt portable battery exp', 'inventory check first aid kit expiry dat', 'inventory check portable halon fire exti', 'inventory check portable halon fire exti', 'inventory check portable oxygen cylinder', 'inventory check life raft / evacuation s', 'inventory check life jacket / life vest', 'inventory check portable breathing equip', 'please send all pictures that already ta', 'please stamp this mdr and sent back to c', 'inventory check elt portable battery exp', 'inventory check first aid kit expiry dat', 'inventory check portable halon fire exti', 'inventory check portable halon fire exti', 'inventory check portable oxygen cylinder', 'inventory check life raft / evacuation s', 'inventory check escape slide / emergency', 'inventory check exit path with escape sl', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check portable breathing equip', 'inventory check portable breathing equip', 'please send all pictures that already ta', 'please stamp this mdr and sent back to c']","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","['gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'kjt1t1c1', 'kjt1t1c1', 'kjt1t1c1', 'kjt1t1c1', 'kjt1t1c1', 'kjt1t1c1', 'kjt1t1c1', 'kjt1t1c1', 'kjt1t1c1', 'kjt1t1c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1']","eto2380:29700 (eastman turbo oil 2380, mil-l-23699)
nsa8203-117:f6198 (o-ring)"
[inventory] pk-gpt inventory check for gaca (include picture)ref position : eel form doc no : 10000030360/000/11 and lopa form doc no : 10000030300/000/05,"['inventory check elt portable battery exp', 'inventory check first aid kit expiry dat', 'inventory check portable halon fire exti', 'inventory check portable halon fire exti', 'inventory check portable oxygen cylinder', 'inventory check life raft / evacuation s', 'inventory check escape slide / emergency', 'inventory check exit path with escape sl', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check portable breathing equip', 'inventory check portable breathing equip', 'please send all pictures that already ta', 'please stamp this mdr and sent back to s', 'inventory check elt portable battery exp', 'inventory check first aid kit expiry dat', 'inventory check portable halon fire exti', 'inventory check portable halon fire exti', 'inventory check portable oxygen cylinder', 'inventory check life raft / evacuation s', 'inventory check escape slide / emergency', 'inventory check exit path with escape sl', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check portable breathing equip', 'inventory check portable breathing equip', 'please send all pictures that already ta', 'please stamp this mdr and sent back to s', 'inventory check elt portable battery exp', 'inventory check first aid kit expiry dat', 'inventory check portable halon fire exti', 'inventory check portable halon fire exti', 'inventory check portable oxygen cylinder', 'inventory check life raft / evacuation s', 'inventory check escape slide / emergency', 'inventory check exit path with escape sl', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check life jacket / life vest', 'inventory check portable breathing equip', 'inventory check portable breathing equip', 'please send all pictures that already ta', 'please stamp this mdr and sent back to s']","[2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0]","['dps1t1zz', 'dps1t1zz', 'dps1t1zz', 'dps1t1zz', 'dps1t1zz', 'dps1t1zz', 'dps1t1zz', 'dps1t1zz', 'dps1t1zz', 'dps1t1zz', 'dps1t1zz', 'dps1t1zz', 'dps1t1zz', 'dps1t1zz', 'dps1t1zz', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'gah260c1']",nan
[inventory] pk-gpt mapping condition leather seat cover c class,"['caution :', 'do mapping condition leather seat cover']","[0.0, 4.0]","['cgk3t3zz', 'cgk3t3zz']",nan
[pfr] pk-gha lav 33 fault,"['perform gnd scanning of the waste/water', 'if the fault message ""lav xx"" is shown o', 'please write down the results and feedba', 'please print and attach the pfr system r']","[0.2, 1.0, 0.1, 0.1]","['gah260c1', 'gah260c1', 'gah260c1', 'gah260c1']",nan
[pfr] pk-gha waste drain vlv not clsd l (135mg) troubleshoot,"['caution:', 'perform pfr troubleshooting of waste dra', 'if the test gives the fault message ""dra', 'please write down the results and feedba', 'print and attach the pfr status/test rep']","[0.0, 1.0, 1.0, 0.1, 0.1]","['cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1']",nan
[pfr] pk-gpn handset (201mk) sr30g troubleshoot,"['perform internal bite test of ife system', 'if the fault is confirmed on handset pos', 'please write down the results and feedba', 'please print and attach the pfr system r']","[0.5, 0.5, 0.1, 0.1]","['gah260c1', 'gah260c1', 'gah260c1', 'gah260c1']",nan
"[pfr] pk-gpo both waste drain vlv not clsd (135mg, 35mg) troubleshoot","['perform ground scanning of the waste/wat', 'if the test gives the fault message "" bo', 'please write down the results and feedba', 'print and attach the pfr status/test rep']","[0.2, 2.0, 0.1, 0.1]","['gah260c1', 'gah260c1', 'gah260c1', 'gah260c1']",nan
"[pfr] pk-gpo both waste drain vlv not clsd (35mg, 135mg) troubleshoot","['perform ground scanning of the waste/wat', 'if the test gives the fault message ""bot', 'please write down the results and feedba', 'print and attach the pfr status/test rep', 'fault confirmation test', 'fault isolation', 'please write down the results and feedba', 'please print and attach the pfr system r']","[0.0, 2.0, 0.0, 0.0, 0.0, 2.0, 0.0, 0.0]","['gah260c1', 'gah260c1', 'gah260c1', 'gah260c1', 'cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1']",nan
[pfr] pk-gpo lav fault troubleshoot,"['perform gnd scanning of the waste/water', 'if the fault message ""lavatory"" is shown', 'please write down the results and feedba', 'please print and attach the pfr system r']","[0.0, 1.5, 0.0, 0.0]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",nan
[pfr] pk-gpo lav fault troubleshoot l74,"['do fault confirmation test', 'fault isolation', 'please write down the results and feedba', 'please print and attach the pfr system r']","[0.0, 2.0, 0.0, 0.0]","['cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1']",nan
[pfr] pk-gpo lav l74 fault troubleshoot,"['perform gnd scanning of the waste/water', 'if the fault message ""lav 74"" is shown o', 'please write down the results and feedba', 'please print and attach the pfr system r']","[0.2, 1.0, 0.1, 0.1]","['gah260c1', 'gah260c1', 'gah260c1', 'gah260c1']",nan
"[pfr] pk-gpo lav l74, lav 54 , lav 61 fault troubleshoot","['perform gnd scanning of the waste/water', 'if the fault message ""lxx"" is shown on t', 'please write down the results and feedba', 'please print and attach the pfr system r']","[0.2, 1.0, 0.1, 0.1]","['gah260c1', 'gah260c1', 'gah260c1', 'gah260c1']",nan
[pfr] pk-gpo waste drain vlv not clsd r (35mg),"['perform ground scanning of the waste/wat', 'if the test gives the fault message ""was', 'please write down the results and feedba', 'print and attach the pfr status/test rep']","[0.2, 2.0, 0.1, 0.1]","['gah260c1', 'gah260c1', 'gah260c1', 'gah260c1']",nan
[pfr] pk-gpt lav 54 fault troubleshoot,"['perform gnd scanning of the waste/water', 'if the fault message ""l54"" is shown on t', 'please write down the results and feedba', 'please print and attach the pfr system r']","[0.0, 1.5, 0.0, 0.0]","['cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz', 'cgk3t3zz']",nan
[pfr] pk-gpt temp snsr 105/ ipcu aft(200dw),"['perform troubleshooting of temp snsr 105', 'please write down the results and feedba', 'please print and attach the pfr system r']","[1.1, 0.2, 0.2]","['gah260c1', 'gah260c1', 'gah260c1']",nan
[pfr] pk-gpt waste drain vlv not clsd l (135mg),"['perform ground scanning of the waste/wat', 'if the test gives the fault message ""was', 'please write down the results and feedba', 'print and attach the pfr status/test rep']","[0.2, 2.0, 0.1, 0.1]","['cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1', 'cgk3t3c1']",nan
"[pk-gha] do ndi door 2.4 found dent ""scratch""","['pse do ndi door 2.4 found dent ""scratch""']",[2.0],['gah210a1'],nan
[pk-gha] replace bonding strap pos 12 o'clock on nose cowl eng,"[""do replace bonding strap pos 12 o'clock""]",[3.0],['w301'],nan
[pk-gpo] anti-ice duct bracket at inner side pos 5 o'clock crack on nose cowl eng #1 (pn: sj30820 sn: sb/rr/t700/2618),"['remove shroud assy for access repair', 'rework minor damage by weld on shroud as', 'install shroud assy after repair perform']","[8.0, 8.0, 8.0]","['w301', 'w303', 'w301']",0
