finding_description,rectification_steps,man_hours_per_step,work_centres_per_step,materials_info,plants_per_step,order_info
1ea blow out panel at lh side aft cargo broken,"['obey all of the warnings, cautions, and', 'remove blow out panel at lh side aft car', 'cover by mdr 804780377', 'install blow out panel at lh side aft ca', 'restore area back to its serviceable con']","[0.5, 4.0, 3.0, 4.0, 0.1]","['gah210a1', 'gah210a1', 'w302', 'gah210zz', 'gah210zz']",,"['gah2', 'gah2', 'wsst', 'gah2', 'gah2']",804779629
1ea bull unit at fwd cargo broken,"['obey all of the warnings, cautions, and', 'replace ball unit', 'restore area back to its serviceable con']","[0.5, 5.0, 0.5]","['gah210a1', 'gah210a1', 'gah210a1']",138100-1:c1572 (ballunit),"['gah2', 'gah2', 'gah2']",804779630
1ea dome nut broken at inner side of aft crg door,"['obey all warnings, cautions, and notes a', 'remove broken dome nut', 'install new dome nut', 'restore area back to its serviceable con']","[1.0, 4.0, 4.0, 1.0]","['gah310s1', 'gah310s1', 'gah310s1', 'gah310s1']","nas1474r3:80205 (nut)
ln9199-2407g:d2249 (rivet, countersunk)","['gah3', 'gah3', 'gah3', 'gah3']",805467344
2 ea 21qu service light not illuminate at refueling control panel,"['obey all of the warnings, cautions and n', 'replace lamp at service light', 'do a test of the light', 'restore area back to its serviceable con']","[0.5, 5.0, 2.0, 0.5]","['gah320e1', 'gah320e1', 'gah320e1', 'gah320e1']","62.4472222222222 (lamp)
ln9333-303:fape3 (lamp)","['gah3', 'gah3', 'gah3', 'gah3']",805500824
2 ea clamp at engine no 1 not installed,"['obey all of the warnings, cautions and n', 'install clamp', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah320a1', 'gah320a1', 'gah320a1']",,"['gah3', 'gah3', 'gah3']",805500783
2 ea screw and washer missing at pylon eng #1,"['pse completion screw and washer ref ipc', 'install screw and washer ref amm task 54']","[1.0, 1.0]","['gah210a1', 'gah210zz']","nas1102e3-10:80205 (screw-mach flat head)
nsa5149-4:f5442 (washer)","['gah2', 'gah2']",804693596
28 row front wall bassinet guard panel laminate wear,"['general:', 'repair laminate row 28 front wall by pat', 'restore area back to its serviceable con']","[0.1, 1.0, 0.0]","['w401', 'w401', 'w401']","1357-3m:70210 (solvent based contact adhesive - 3m)
401u3503-1394:gmfdm (laminate)","['wscb', 'wscb', 'wscb']",805466871
28e front wall bassinet guard panel not proper install,"['obey all of the warnings, cautions, and', 'reinstall baby bassinet guard panel prop', 'restore area back to its serviceable con']","[0.1, 1.0, 0.2]","['gah330c1', 'gah330c1', 'gah330c1']",,"['gah3', 'gah3', 'gah3']",805466872
28g lb endcap filler found profile broke,"['obey all of the warnings, cautions, and', 'do removal of the handrail assy', 'do installation of the handrail assy', 'restore area back to its serviceable con']","[0.1, 1.0, 1.5, 0.1]","['gah330c1', 'gah330c1', 'gah330c1', 'gah330c1']",a2528710520000:fape3 (strip),"['gah3', 'gah3', 'gah3', 'gah3']",805433863
28hk seat food table arm found broken 1 ea,"['obey all of the warnings, cautions, and', 'do removal of the unserviceable seat foo', 'do installation of the seat food table a', 'restore area back to its serviceable con']","[0.1, 0.5, 1.0, 0.1]","['gah330c1', 'gah330c1', 'gah330c1', 'gah330c1']","857766-402a:3k723 (arm ay, food table)
nas517-4-17:6j2a7 (screw)","['gah3', 'gah3', 'gah3', 'gah3']",805406352
2ab cradle panel not proper install,"['obey all of the warnings, cautions, and', 'install cradle panel bussiness seat prop', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah320c1', 'gah320c1', 'gah320c1']",,"['gah3', 'gah3', 'gah3']",805291724
2de cover cradle found crack,"['obey all of the warnings, cautions, and', 'repair the cradle of bussiness seat', 'apply paint to the cradle of bussiness s']","[1.0, 2.0, 1.0]","['w101', 'w101', 'w103']","velcrop320:gmfdm (abrasive paper 5' grade 320)
34555-0000-0:fape3 (alexit hardener 345-55)
34655-132f-7:d2603 (alexit int paint aic 3.33 dawn beige)","['wsss', 'wsss', 'wsss']",805291658
2de lh powerseat panel found crack,"['obey all of the warnings, cautions, and', 'repair the powerseat panel of bussiness', 'apply paint to the powerseat panel of bu']","[0.1, 2.0, 1.0]","['w101', 'w101', 'w103']","velcrop120:gmfdm (abrasive paper 5' grade 120)
34555-0000-0:fape3 (alexit hardener 345-55)
34655-132f-7:d2603 (alexit int paint aic 3.33 dawn beige)","['wsss', 'wsss', 'wsss']",805291721
2ea bolts of door sill was corrosion,"['obey all of the warnings, cautions and n', 'replace bolt', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah310a1', 'gah330a1', 'gah330a1']","ms21250-04006:96906 (bolt)
ms21250-04012:96906 (bolt)","['gah3', 'gah3', 'gah3']",805484861
2kj cover monitor broken,"['obey all of the warnings, cautions, and', 'repair 2kj cover monitor', 'touchup 2kj cover monitor', 'restore area back to its serviceable con']","[0.1, 2.0, 1.0, 0.1]","['w101', 'w101', 'w103', 'w101']","velcrop320:gmfdm (abrasive paper 5' grade 320)
346-57-906q-7:d2603 (alexit int paint bac 7363 white)
34557-0000-0:d2603 (alexit int hardener 345-57)","['wsss', 'wsss', 'wsss', 'wsss']",805291651
"2kj lower,1de lower armrest not proper install","['obey all of the warnings, cautions, and', 'reinstall lower armrest', 'restore area back to its serviceable con']","[0.1, 1.5, 0.1]","['gah320c1', 'gah320c1', 'gah320c1']",,"['gah3', 'gah3', 'gah3']",805291650
"3de lh,2ab lower armrest found discolor","['obey all of the warnings, cautions, and', 'repair lower armrest', 'apply piant to the lower armrest', 'restore area back to its serviceable con']","[0.1, 1.0, 1.0, 0.1]","['w101', 'w101', 'w103', 'w101']","velcrop120:gmfdm (abrasive paper 5' grade 120)
34555-0000-0:fape3 (alexit hardener 345-55)
34655-132f-7:d2603 (alexit int paint aic 3.33 dawn beige)","['wsss', 'wsss', 'wsss', 'wsss']",805291660
"3de,3ab lower backshell found not proper install","['obey all of the warnings, cautions, and', 'install propperly lowe backshell bussine', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah320c1', 'gah320c1', 'gah320c1']",,"['gah3', 'gah3', 'gah3']",805291659
3ea bull unit of aft cargo damage need to replaced,"['obey all of the warnings, cautions, and', 'replace ball unit', 'restore area back to its serviceable con']","[0.5, 4.0, 0.5]","['gah210a1', 'gah210a1', 'gah210a1']",138100-1:c1572 (ballunit),"['gah2', 'gah2', 'gah2']",804779628
3rd occupant seat cover disbonding,"['obey all of the warnings, cautions, and', 'reinstall the seat cover of 3rd occupant', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah320c1', 'gah320c1', 'gah320c1']",,"['gah3', 'gah3', 'gah3']",805254450
3rh damper yellow band,"['obey all of the warnings, cautions, and', 'do special precautions before work on th', 'do charging the door damper door 3rh', 'do leak test of door damper door 3rh', 'do special precautions after work on the', 'restore area back to its serviceable con']","[0.1, 2.0, 6.0, 1.0, 2.0, 0.1]","['gah310c1', 'gah310c1', 'gah310c1', 'gah310c1', 'gah310c1', 'gah310c1']",,"['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805129188
47a sidewall panel not proper install,"['obey all of the warnings, cautions, and', 'reinstall properly of the sidewall panel', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah330c1', 'gah330c1', 'gah330c1']",,"['gah3', 'gah3', 'gah3']",805466903
4ab armrest found crack,"['obey all of the warnings, cautions, and', 'repair armrest', 'do touchup armrest with same color', 'restore area back to its serviceable con']","[0.1, 2.0, 0.5, 0.1]","['w101', 'w101', 'w103', 'w101']","velcrop120:gmfdm (abrasive paper 5' grade 120)
34555-0000-0:fape3 (alexit hardener 345-55)
34655-132f-7:d2603 (alexit int paint aic 3.33 dawn beige)","['wsss', 'wsss', 'wsss', 'wsss']",805291722
"4kj lh,4kj rh,3kj, lh, 2e, 3d footrest cover torn","['obey all of the warnings, cautions, and', 'remove dress cover footrest', 'install dress cover footrest', 'restore area back to its serviceable con']","[0.1, 1.0, 1.0, 0.1]","['gah320c1', 'gah320c1', 'gah320c1', 'gah320c1']","868688-401b:3k723 (dress cover ay, legrest (sesame))","['gah3', 'gah3', 'gah3', 'gah3']",805291648
"4kj,3ab divider crack","['obey all of the warnings, cautions, and', 'repair 4kj,3ab divider', 'touchup 4kj,3ab divider', 'restore area back to its serviceable con']","[0.1, 3.0, 2.0, 0.1]","['w101', 'w101', 'w103', 'w101']","velcrop120:gmfdm (abrasive paper 5' grade 120)
34555-0000-0:fape3 (alexit hardener 345-55)
34655-132f-7:d2603 (alexit int paint aic 3.33 dawn beige)","['wsss', 'wsss', 'wsss', 'wsss']",805291645
4rh damper yellow band,"['obey all of the warnings, cautions, and', 'do special precautions before work on th', 'do charging the door damper of door 4rh', 'do leak test of door damper door 4rh', 'do special precautions after work on the', 'restore area back to its serviceable con']","[0.1, 2.0, 6.0, 1.0, 2.0, 0.1]","['gah310c1', 'gah310c1', 'gah310c1', 'gah310c1', 'gah310c1', 'gah310c1']",,"['gah3', 'gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805129189
"4th occupant seat ""lifevest"" placard on stowage door not properly install","['obey all of the warnings, cautions, and', 'install proplery 4th occupant seat ""life', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['w101', 'w101', 'w101']",,"['wsss', 'wsss', 'wsss']",805269740
"4th occupant seat headrest, upperback and bottom cushion eroded","['obey all of the warnings, cautions, and', 'replace 4th occupant seat headrest, uppe', 'restore area back to its serviceable con']","[0.1, 1.5, 0.1]","['w101', 'w101', 'w101']","141710-03:f0465 (sap assy)
167700-1:fape3 (bottom cushion)
160720-1:fape3 (upper backrest cushion)","['wsss', 'wsss', 'wsss']",805269738
4th occupant seat paint peel off,"['obey all of the warnings, cautions, and', 'remove the fourth occupant seat', 'repair the 4th occupant seat', 'apply paint to the 4th occupant seat', 'install the fourth occupant seat', 'restore area back to its serviceable con']","[1.0, 2.0, 8.0, 2.0, 2.0, 1.0]","['gah320c1', 'gah320c1', 'w101', 'w103', 'gah320c1', 'gah320c1']","velcrop120:gmfdm (abrasive paper 5' grade 120)
90062-0000-0-006:d2603 (alexit verdunner 62)
40412-526a-w:d2603 (alexit int paint asna 5317 dark blue)
40500-0000-0:d2603 (alexit hardener 400)","['gah3', 'gah3', 'wsss', 'wsss', 'gah3', 'gah3']",805254447
4th occupant seat restraint system dirty,"['obey all of the warnings, cautions, and', 'cleaning 4th occupant seat restraint sys', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['w101', 'w101', 'w101']",applied3-220:gmfdm (all purpose detergent cleaner),"['wsss', 'wsss', 'wsss']",805269739
7ea screws of aft cargo door sill latch cover panel was stuck,"['obey all warnings, cautions, and notes a', 'drill out and remove screws stuck', 'install new screws', 'restore area back to its serviceable con']","[1.0, 12.0, 4.0, 1.0]","['w303', 'w303', 'gah310a1', 'gah310a1']",nas1102-08-6:80205 (screw),"['wsst', 'wsst', 'gah3', 'gah3']",805484862
8 row front overhead monitor cover paint peel off,"['obey all of the warnings, cautions, and', 'remove cover monitor wall mounted for se', 'repair surface of overhead monitor cover', 'paint overhead monitor cover', 'install serviceable cover monitor wall m', 'restore area back to its serviceable con']","[0.1, 5.0, 8.0, 9.0, 5.0, 0.2]","['gah330c1', 'gah330c1', 'w401', 'w103', 'gah330c1', 'gah330c1']","velcrop120:gmfdm (abrasive paper 5' grade 120)
34557-0000-0-009:21213 (alexit hardener 345-57)
34657-749a-7-142:d2603 (alexit-fst-topcoat 346-57 da 2.20 beige)","['gah3', 'gah3', 'wscb', 'wsss', 'gah3', 'gah3']",805466878
8b seat side rubstrip broken,"['obey all of the warnings, cautions, and', 'replace rubstrip post seat 8b', 'restore area back to its serviceable con']","[0.1, 1.0, 0.0]","['gah320c1', 'gah320c1', 'gah320c1']",1007057-332amw:92802 (rubstrip),"['gah3', 'gah3', 'gah3']",805423750
8ea bolt stuck at bulk crg.floor 161af due to insert nut corrosion,"['obey all warnings, cautions, and notes a', 'preliminary assessment:', 'drill out and remove screws stuck', 'install new part with original fasteners', 'restore area back to its serviceable con']","[1.0, 1.0, 12.0, 4.0, 1.0]","['gah310s1', 'gah310s1', 'gah310s1', 'gah330a1', 'gah330a1']","f2557796020200:fape3 (drain track)
nas1100-4-8:80205 (screw)
nas1149d0416k:80205 (washer)
nas1833c4-370:80205 (insert)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805467059
[deferred defects] 3086264 : add - reseq cml 2767517 trolley track rubber <(>&<)> fwd galley center 213a <(>&<)> 213b. trolley track,"['obey all of the warnings, cautions, and', 'do check actual for condition and defect', 'cabin h3 not ro yet (waiting check resul', 'restore area back to its serviceable con']","[0.1, 0.0, 0.0, 0.0]","['gah310c1', 'gah310c1', 'gah310c1', 'gah310c1']",,"['gah3', 'gah3', 'gah3', 'gah3']",805601426
"[deferred defects] 3139367 : add - during 3 days check found aft galley lastch defective 905 , 906, 814 ab, 815ab","['obey all of the warnings, cautions, and', 'do check actual of the latch galley', 'cabin h3 not ro yet (waiting check)', 'restore area back to its serviceable con']","[0.1, 2.0, 1.0, 0.2]","['gah310c1', 'gah330c1', 'gah330c1', 'gah330c1']",,"['gah3', 'gah3', 'gah3', 'gah3']",805601424
[deferred defects] 3348559 : add-door metal protruding at lav â 11. add-maint entry,"['obey all of the warnings, cautions, and', 'do replacement of the door lavatory prof', 'restore area back to its serviceable con']","[0.1, 2.0, 0.1]","['gah310c1', 'gah310c1', 'gah310c1']",l225400287-230:ch550 (profile),"['gah3', 'gah3', 'gah3']",805601425
"[deferred defects] 3388506 : add - lav 61 sontinious dripping "" water"" add - lav 61 sontinious dripping "" water""","['obey all of the warnings, cautions, and', 'do check actual for troubleshoot', 'cabin h3 not ro yet (waiting check)', 'restore area back to its serviceable con']","[0.1, 2.5, 1.0, 0.2]","['gah310c1', 'gah310c1', 'gah310c1', 'gah310c1']",,"['gah3', 'gah3', 'gah3', 'gah3']",805601422
"[deferred defects] 3388843 : add-l1,l1a, r1, r1a, l2, r2, r3, l3, l3a, l4, l4a, r4. bottom cover and backrest cover with blue stain add-maint entry","['obey all of the warnings, cautions, and', 'do cleaning of the seat covers', 'restore area back to its serviceable con']","[0.1, 6.0, 0.1]","['gah310c1', 'gah310c1', 'gah310c1']",applied3-220:gmfdm (all purpose detergent cleaner),"['gah3', 'gah3', 'gah3']",805601427
[dq-fjt] : helicoil screw joint g4r found corrosion,"['perform fabricate new part as per existi', 'install block at the galley']","[21.0, 10.0]","['w303', 'w302']",,"['wsst', 'wsst']",805290194
[t7-mmm] [soa] found crack to the ball mat 5520my15 (pn 190574-1),"['remove related ball assy around damage a', 'remove surface protection of the damage', 'do rework procedure to the damage area', 'build up damag area by welding method', 'flush grind weld build up area', 'inspect build up area after grinding pro', 'do surface protection to the built up ar', 'install previously removed ball assy', 'do post inspection to the repaired area', 'paint ball mat assy as existing colour']","[2.0, 2.0, 3.0, 2.0, 2.0, 2.0, 2.0, 2.0, 2.0, 3.0]","['w301', 'w301', 'w301', 'w303', 'w303', 'w303', 'w301', 'w301', 'w301', 'w403']",,"['wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wspt']",805419664
[t7-mmm] [soa] found material missing to the ballmat 5520my9 (190560-1),"['remove related captive screw for repair', 'do corrosion removal to the damage area', 'do build up by welding to the material m', 'flush grind the build up area', 'do inspection to the build up area after', 'setting-up the captive screw hole', 'do surface protection to the build up ar', 'install captive screw to the repaired ar', 'do post inspection to the repaired area', 'paint repaired ball mat as existing colo']","[1.0, 2.0, 3.0, 2.0, 1.0, 2.0, 2.0, 1.0, 2.0, 2.0]","['w301', 'w301', 'w303', 'w303', 'w301', 'w301', 'w301', 'w301', 'w301', 'w403']",,"['wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wspt']",805419663
[t7-mmm] drain mast assy bracket found material missing due corrosion,"['disassembly drain mast assy bracket', 'fabricate u-profile of drain mast assy b', 'fabricate side profile of drain mast ass', 'do surface protection to fabricated asse', 'do assembly to the fabricated part', 'post assembly inspection of fabricated p']","[8.0, 12.0, 10.0, 5.0, 4.0, 1.0]","['w301', 'w301', 'w301', 'w403', 'w301', 'w301']","ms20426ad5-6:81205 (rivet)
ams4462-050:qa251 (al-clad sheet 2024-t3,size: .050x48x144)","['wsst', 'wsst', 'wsst', 'wspt', 'wsst', 'wsst']",805418900
[t7-mmm] found crack to the retainer of lh wing slat #4,"['disassembly the broken retainer from the', 'fabricate the retainer from ams4048 (0.7', 'do heat treatment for ams4048 (0.71) ‘t0', 'transfer hole and setting the fabricated', 'apply surface protective and paint to th', 'a install fabricated retainer to the lh']","[2.0, 2.0, 12.0, 4.0, 2.0, 2.0]","['w301', 'w301', 'w303', 'w301', 'w403', 'w301']",,"['wsst', 'wsst', 'wsst', 'wsst', 'wspt', 'wsst']",805418695
[t7-mmm] found deformation to the horizontal stabilizer shim 333al,"['locally fabricate part as sample given', 'apply paint primer to fabricated part', 'protect locally fabricate part by fiberg', 'do transfer hole process from original p']","[4.0, 2.0, 4.0, 2.0]","['w301', 'w403', 'w302', 'gah310s1']",,"['wsst', 'wspt', 'wsst', 'gah3']",805417913
[t7-mmm] found dent at the two side of pneumatic duct mount,"['obey all of the warnings, cautions, and', 'do repair to the dent area', 'do visual inspection to make sure no cra', 'restore area back to its serviceable con']","[0.1, 8.0, 3.0, 0.1]","['w301', 'w301', 'w301', 'w301']",,"['wsst', 'wsst', 'wsst', 'wsst']",805439649
[t7-mmm] found dent to the ball mat 5520my6 (pn 190561-6),"['remove related captive screw from the ba', 'reform dent part to it original contour', 'build up cracked area by weld method', 'flush grind the build up area', 'do inspection to the build up area after', 'do surface protection to the repaired ar', 'install previously removed captive screw', 'do post inspection to the repaired area.', 'paint repair the ball mat as existing co']","[1.0, 3.0, 2.0, 1.0, 1.0, 2.0, 1.0, 1.0, 2.0]","['w301', 'w301', 'w303', 'w303', 'w303', 'w301', 'w301', 'w301', 'w403']",,"['wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wspt']",805419098
[t7-mmm] found material missing to the 132 kf,"['remove surface protection', 'do rework to the damage area', 'build up missing material by welding to', 'flush grind the weld', 'inspect that welded area is free from cr', 'setting hole to the builded area', 'apply surface protection', 'install fastener to the repaired area']","[2.0, 3.0, 2.0, 2.0, 2.0, 3.0, 3.0, 2.0]","['w301', 'w301', 'w301', 'w301', 'w301', 'w301', 'w301', 'w301']",,"['wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst', 'wsst']",805427258
[t7-mmm] found torn l/e steel cover at the rh lower side of vertical stabilizer 322cl,['install torn steel cover by following pr'],[5.0],['w302'],,['wsst'],805428205
[t7-mmm] need repair identification 'frs g012a' (20ea) and 'frs g012b' (20 ea),"[""create 20 ea repair 'frs g012 a' identif"", ""create 20 ea repair 'frs g012 b' identif""]","[4.0, 4.0]","['w403', 'w403']",,"['wspt', 'wspt']",805394709
[t7-mmm] vertical stabilizer tip sheet item 45 found detach,"['attach sheet (item 45) to the vertical s', 'let the adhesive cure completely', 'do inspection to make sure sheet (item 4']","[4.0, 2.0, 2.0]","['w302', 'w302', 'w302']",,"['wsst', 'wsst', 'wsst']",805420461
a330 9m-xxr eng #1 phase array inspectio,['a330 9m-xxr eng #1 phase array inspectio'],[9.0],['w808'],,['wsnc'],804422680
aap 4lh found not proper install,"['obey all of the warnings, cautions, and', 'do re-install properly the aap pos 4lh', 'do interface power up taste cids', 'do the system test of the smoke detectio', 'restore area back to its serviceable con']","[0.1, 1.0, 1.0, 1.0, 0.1]","['gah320c1', 'gah320c1', 'gah320c1', 'gah320c1', 'gah320c1']","nas1149cn832r:80205 (washer apu)
nas1801-08-10:80205 (screw)
nas1801-08-10:80205 (screw)
nas1801-08-10:80205 (screw)","['gah3', 'gah3', 'gah3', 'gah3', 'gah3']",805256447
ac duct at fr.78 lh behind module aft galley 4lh found crack,"['obey all of the warnings, cautions, and', 'remove of the air conditioning distribut', 'do permanent repair at the damage area.', 'install of the serviceable air condition', 'do leak check of the air conditioning di', 'restore area back to its serviceable con']","[0.1, 1.0, 8.0, 1.5, 2.0, 0.1]","['gah330e1', 'gah330e1', 'w302', 'gah330e1', 'gah330e1', 'gah330e1']",,"['gah3', 'gah3', 'wsst', 'gah3', 'gah3', 'gah3']",805491695
"ac power outlet bracket broken post 7jk,8jk,9jk,10jk,15jk,17jk,22jk,23jk ,35jk,24ab,23ab,22ab,21ab,20ab,19ab,18ab,17ab,16ab,12ab,11ab,8ab,7de,8de ,9de,10de,11de,12de,17de,18de,20de,21de,22de,23de,24fg,14fg,23fg,22fg ,21fg,20fg,19fg,16fg,12fg,11fg,27e,28a,","['obey all of the warnings, cautions, and', 'repair ac power outlet bracket', 'repaint ac power outlet bracket']","[0.1, 55.0, 16.0]","['w101', 'w101', 'w103']","velcrop120:gmfdm (abrasive paper 5' grade 120)
34557-0000-0:d2603 (alexit int hardener 345-57)
34657-71ya-7-278:d2603 (alexit int paint pantone 2u warm grey)","['wsss', 'wsss', 'wsss']",805265157
"ac power outlet cover broken post 40df,39df,39fg,37fg,32fg,31de,31fg ,29fg,34ab,37ab,37jk,36jk,8ab,11ab,12ab,16ab,17ab,18ab,19ab,20ab,22ab ,23ab,21de,18de,11fg,7jk,8jk,9jk,25jk","['obey all of the warnings, cautions, and', 'replace ac power outlet of eco seat', 'restore area back to its serviceable con']","[0.1, 9.0, 0.1]","['w101', 'w101', 'w101']","1303-7-12:3k723 (outlet unit, ac)","['wsss', 'wsss', 'wsss']",805265156
acces door lavatory l61 found not proper install,"['obey all of the warnings, cautions, and', 'do install properly of acces door lavato', 'restore area back to its serviceable con']","[0.1, 1.0, 0.1]","['gah320c1', 'gah320c1', 'gah320c1']",,"['gah3', 'gah3', 'gah3']",805252700
