finding_description,action_taken,work_centre,materials_required,man_hours
DURING PRELIMINARY CHECK FOUND SPRING POCKET 19K BROKEN,WARNING:,GAH210ZZ,"GA68100090007:GL002 (DRY CLEANING SOLVENT, 1DRUM=333KG)
HDC-518:GMFDM (LAUNDRY LIQUID DETERGENT)",2
DURING PRELIMINARY CHECK FOUND SPRING POCKET 19K BROKEN,REPLACE SPRING POCKET POST SEAT 19K.,GAH210ZZ,,0
DURING PRELIMINARY CHECK FOUND KNOB LOCKING DOOR LAV L54 MISSING,CAUTION :,GAH210C2,,0.2
DURING PRELIMINARY CHECK FOUND KNOB LOCKING DOOR LAV L54 MISSING,REPLACE KNOB LOCKING DOOR LAV L54 DUE TO,GAH210ZZ,,2
DURING PRELIMINARY CHECK FOUND WALL INSIDE AND OUTSIDE LAVATORY L75 DIRTY,WARNING:,GAH210C2,,0.1
DURING PRELIMINARY CHECK FOUND WALL INSIDE AND OUTSIDE LAVATORY L75 DIRTY,PERFORM CLEANING WALL INSIDE AND OUTSIDE,GAH210ZZ,,0.1
DURING PRELIMINARY CHECK FOUND CALL CHIME COVER LAV L61 BROKEN,WARNING :,GAH210C2,P79387-A020:FAPE3 (READING LIGHT),0
DURING PRELIMINARY CHECK FOUND CALL CHIME COVER LAV L61 BROKEN,REPLACE STRIP INFO POST LAV L61,GAH210ZZ,,0.2
DURING PRELIMINARY CHECK FOUND SEAT 37C CANT RECLINE DT CABLE LOOSE,WARNING:,GAH210C2,,2
DURING PRELIMINARY CHECK FOUND SEAT 37C CANT RECLINE DT CABLE LOOSE,ADJUST AND REINSTALL RECLINE CABLE SEAT,GAH210ZZ,,0.1
DURING PRELIMINARY CHECK FOUND DADO PANEL 29A LOOSE,WARNING:,GAH210C2,,0.1
DURING PRELIMINARY CHECK FOUND DADO PANEL 29A LOOSE,ADJUST AND RETIGHTEN DADO PANEL SEAT 29A,GAH210ZZ,,6
DURING PRELIMINARY CHECK FOUND SPRING POCKET 43K LOOSE,WARNING:,GAH210C2,BEL503169:FAPE3 (BABY BASINET),0.5
DURING PRELIMINARY CHECK FOUND SPRING POCKET 43K LOOSE,REPLACE SPRING POCKET POST SEAT 43K.,GAH210ZZ,4443-0101:F6151 (BACK-UP POWER SUPPLY),0
DURING PRELIMINARY CHECK FOUND CHIP FLOOR ALL AREA VERY DIRTY,WARNING:,GAH210C2,,4
DURING PRELIMINARY CHECK FOUND CHIP FLOOR ALL AREA VERY DIRTY,CLEAN CHIPFLOOR ALL AREA,GAH210ZZ,"6100:5H611 (REUSABLE RESPIRATOR)
MS20470D5-14:81205 (RIVET)
F5331429400000:FAPE3 (BRACKET)
F5331429400000:FAPE3 (BRACKET)",0
DURING PRELIMINARY CHECK FOUND GRILL CEILING PANEL ABOVE POST 26 ABC LOOSE,WARNING :,GAH210C2,"6100:5H611 (REUSABLE RESPIRATOR)
MS20470D5-14:81205 (RIVET)
F5331429400000:FAPE3 (BRACKET)
F5331429400000:FAPE3 (BRACKET)",3
DURING PRELIMINARY CHECK FOUND GRILL CEILING PANEL ABOVE POST 26 ABC LOOSE,REINSTALL AND RETIGHTEN CEILING PANEL AB,GAH210ZZ,"6100:5H611 (REUSABLE RESPIRATOR)
MS20470D5-14:81205 (RIVET)
F5331429400000:FAPE3 (BRACKET)
F5331429400000:FAPE3 (BRACKET)",2
DURING PRELIMINARY CHECK FOUND FWD AND AFT LH CURTAIN LOOSE,DO REMOVAL SCREW PN NAS1102E08-7 REF IPC,GAH210C2,"6100:5H611 (REUSABLE RESPIRATOR)
MS20470D5-14:81205 (RIVET)
F5331429400000:FAPE3 (BRACKET)
F5331429400000:FAPE3 (BRACKET)",1
DURING PRELIMINARY CHECK FOUND FWD AND AFT LH CURTAIN LOOSE,DO REMOVAL REMOVAL BRACKET PN D252741102,GAH210ZZ,"6100:5H611 (REUSABLE RESPIRATOR)
MS20470D5-14:81205 (RIVET)
F5331429400000:FAPE3 (BRACKET)
F5331429400000:FAPE3 (BRACKET)",3
DURING PRELIMINARY CHECK FOUND FWD AND AFT LH CURTAIN LOOSE,DO INSTALLATION BRACKET PN D252741102660,GAH210ZZ,,1
DURING PRELIMINARY CHECK FOUND FWD AND AFT LH CURTAIN LOOSE,DO INSTALLATION SCREW PN NAS1102E08-7 RE,GAH210ZZ,"NAS1149C0316R:80205 (WASHER)
NAS1149C0316R:80205 (WASHER)
NAS1801-3-8:80205 (SCREW)
NAS1801-3-8:80205 (SCREW)",5
DURING PRELIMINARY CHECK FOUND STUD AND WASHER ON PANEL 192PB MISSING,DURING PRELIMINARY CHECK FOUND STUD AND,GAH210A2,1019012-003KA52:92802 (LARGE LEAF ASSY - BONDED (B)),1
DURING PRELIMINARY CHECK FOUND POWER HYD YELLOW ACCUMULATOR LOW PRESSURE 1200PSI (5141JM3),REF AMM TASK 29-10-00-200-802-A Check Ni,GAH210A2,,1
DURING PRELIMINARY CHECK FOUND POWER HYD YELLOW ACCUMULATOR LOW PRESSURE 1200PSI (5141JM3),"(b) Do a check for air in the Green, Blu",GAH210ZZ,,1
DURING PRELIMINARY CHECK FOUND POWER HYD BLUE ACCUMULATOR LOW PRESSURE 1200 PSI (5141JM2),Fill the Blue Power Accumulator with Nit,GAH210A2,,1
DURING PRELIMINARY CHECK FOUND PARKING BRAKE ACCUMULATOR LOW PRESS,FILL THE PARKING BRAKE ACCUMULATOR WITH,GAH210A2,"42273,1972222222 (SEAL)
6763D090000:F1958 (VALVE, BLEED HP)",8
DURING PRELIMINARY CHECK FOUND PARKING BRAKE ACCUMULATOR LOW PRESS,Do Functional Test of the Brake Accumula,GAH210A2,,2
DURING PRELIMINARY CHECK FOUND SCREW ON PANEL 148AB MISSING,INSTALL SCREW AT PANEL 148AB.,GAH210A1,,0
DURING PRELIMINARY CHECK FOUND GREEN EDP ENG#1 FOUND SIGN OF LEAK,GREEN EDP ENG#1 FOUND SIGN OF LEAK,GAH210A2,"6764B040000:F1958 (VALVE, BLEED)",0
DURING PRELIMINARY CHECK FOUND ALTERNATE SYS BRAKE #6 BLEEDING VALVE CAP MISSING 1 EA,COMPLETE PLUG AT BRAKE #6 REF IPC FIG. 3,GAH210A2,,0
DURING PRELIMINARY: BRAKE #1 COUPLING GREEN SYSTEM FOUND SIGN OF LEAK,pse find the source of leak,GAH210A2,,2
DURING PRELIMINARY: BRAKE #1 COUPLING GREEN SYSTEM FOUND SIGN OF LEAK,check the leak limitation ref amm task 2,GAH210A2,,0
DURING PRELIMINARY: BRAKE #1 COUPLING GREEN SYSTEM FOUND SIGN OF LEAK,"if the leak is out of limit, replace the",GAH210A2,,0
DURING PRELIMINARY CHECK FOUND INLET COWLING ENG #2 PAINT PEEL OFF,Perform re-painting RH Engine inlet cowl,GAH210ZZ,"37562,1423611111 (SEAL)
3552AAADAACXCD:53655 (CYLINDER, PORTABLE OXYGEN)
3552AAAWAACXCD:53655 (CYLINDER, PORTABLE OXYGEN)",1
DURING PRELIMINARY: COVER PLUG JACK PAD RH WING LOOSE,PSE REMOVE COVER PLUG JACK PAD.,GAH210A2,"37562,1423611111 (SEAL)
3552AAADAACXCD:53655 (CYLINDER, PORTABLE OXYGEN)
3552AAAWAACXCD:53655 (CYLINDER, PORTABLE OXYGEN)",0
DURING PRELIMINARY: COVER PLUG JACK PAD RH WING LOOSE,RE-INSTALL COVER PLUG JACK PAD.,GAH210A2,,0.2
DURING PRELIMINARY CHECK FOUND LH LANDING LIGHT NOT ILLUMINATE,REPLACEMENT OF THE LAMP IN THE LANDING L,GAH210E2,,1
DURING PRELIMINARY CHECK FOUND LH LANDING LIGHT NOT ILLUMINATE,OPERATIONAL TEST OF THE LANDING LIGHTS,GAH210E2,,0.2
DURING PRELIMINARY: LAMP (11LU) ON AFT CARGO CONTROL PANEL NOT ILL,Removal of the Cargo-Compartment Service,GAH210E2,,0.1
DURING PRELIMINARY: LAMP (11LU) ON AFT CARGO CONTROL PANEL NOT ILL,Installation of the Cargo-Compartment se,GAH210E2,4913211082:D7320 (LOUDSPKR),1
DURING PRELIMINARY CHECK FOUND SIGN OF HYD LEAK FROM PANEL 344BB AND 344CB POSITION LH ELEVATOR SERVO,DO HYD EXTERNAL LEAK CHECK.,GAH210A2,4913211082:D7320 (LOUDSPKR),1
DURING PRELIMINARY CHECK FOUND SIGN OF HYD LEAK FROM PANEL 344BB AND 344CB POSITION LH ELEVATOR SERVO,Check of the External Leakage of Hydraul,GAH210ZZ,,2
DURING PRELIMINARY: DOOR GROUND OPENING SEAL FOUND TEAR OFF,REPLACEMENT SEAL OF NLG FIX DOOR ASSEMBL,GAH210A2,,0.2
DURING PRELIMINARY: 8GH PUSH TO TEST RED LAMP NOT ILLUMINATE,PSE REPLACE LAMP REF IPC Figure 32-53-12,GAH210E2,,1
DURING PRELIMINARY CHECK FOUND CEILING PANEL FIN 152BC DISBONDING ON AFT CARGO,"OBEY ALL WARNINGS, CAUTIONS AND NOTES AS",W302,,0.2
DURING PRELIMINARY CHECK FOUND CEILING PANEL FIN 152BC DISBONDING ON AFT CARGO,DO DETAIL VISUAL INSPECTIONS TO DETERMIN,W302,,0.1
DURING PRELIMINARY CHECK FOUND CEILING PANEL FIN 152BC DISBONDING ON AFT CARGO,PERFORM PERMANENT REPAIR AFT CARGO CEILI,W302,,3
DURING PRELIMINARY CHECK FOUND CEILING PANEL FIN 152BC DISBONDING ON AFT CARGO,APPLY A/C INTERIOR PAINT AS EXISTING COL,W403,,0
DURING PRELIMINARY: FOUND SIDEWALL PANEL FIN 151EW DISBONDING ON AFT CAR,"OBEY ALL WARNINGS, CAUTIONS AND NOTES AS",W302,"10P2044MNF-EC291-TR114:91342 (EPOXY PRIMER YELLOW)
ECL-G-1622-PC233-TR109:91342 (PAINT-ECLIPSE-WHITE BAC70846)",2
DURING PRELIMINARY: FOUND SIDEWALL PANEL FIN 151EW DISBONDING ON AFT CAR,DO DETAIL VISUAL INSPECTIONS TO DETERMIN,W302,,1
DURING PRELIMINARY: FOUND SIDEWALL PANEL FIN 151EW DISBONDING ON AFT CAR,PERFORM PERMANENT REPAIR AFT CARGO SIDEW,W302,,1
DURING PRELIMINARY: FOUND SIDEWALL PANEL FIN 151EW DISBONDING ON AFT CAR,APPLY A/C INTERIOR PAINT AS EXISTING COL,W403,,0.1
During Preliminary check found Green HYD power acc low press 1000 psi,Fill the Green Power Accumulator with Ni,GAH210A2,,0.1
During Preliminary check found panel 523CB on LH wing paint peel off,Perform re-painting at LH WING panel 523,GAH210A2,,0.5
DURING PRELIMINARY: FLOOR PANEL BULK CARGO 161AC FOUND PUNCTURE,"OBEY ALL WARNINGS, CAUTIONS, AND NOTES A",W302,,0.5
DURING PRELIMINARY: FLOOR PANEL BULK CARGO 161AC FOUND PUNCTURE,PERFORM MEASUREMENT AND MAPPING THE DAMA,W302,,0.1
DURING PRELIMINARY: FLOOR PANEL BULK CARGO 161AC FOUND PUNCTURE,PERFORM REPAIR DAMAGED BULK CARGO FLOOR,W302,,0.1
DURING PRELIMINARY: LH FAN COWL ENG #1 INNER SIDE PAINT PEEL OFF,Perform re-painting LH Fan cowling Engin,GAH210A2,,0.2
FOUND UNWANTED GREASE ON BOTH MLG,CLEAN UNWANTED GREASE AT BOTH MLG,GAH210A1,,1
FOUND SIGN OF LEAK AT GREEN EDP ENG #1,NEED RO,GAH210A1,,0.1
FOUND SIGN OF LEAK AT GREEN EDP ENG #2,GREEN EDP ENG#2 FOUND SIGN OF LEAK,GAH210A1,,0.1
RH NOSE LANDING GEAR DOOR SEAL DAMAGE,REPLACE THE SEAL REF IPC FIG. 53-19-01-1,GAH210A1,,0.1
ENG #2 LH FAN COWL SEAL DAMAGE,"OBEY ALL WARNINGS, CAUTIONS, AND NOTES A",GAH210ZZ,,0.1
ENG #2 LH FAN COWL SEAL DAMAGE,PERFORM REMOVE DAMAGED PARTS,GAH210ZZ,,0.1
ENG #2 LH FAN COWL SEAL DAMAGE,PERFORM INSTALL NEW SEALS,GAH210ZZ,,0.1
ENG #2 LH FAN COWL SEAL DAMAGE,DO VISUAL INSPECTION AFTER THE REPAIR HA,GAH210ZZ,,0.1
ENG #2 LH FAN COWL SEAL DAMAGE,"RECORD THE REPAIR WITH WRITE ""FRSW026"" O",GAH210ZZ,,0.1
FOUND SIGN OF LEAK AT THS ACTUATOR,FOUND SIGN OF LEAK AT THS ACTUATOR,GAH210A1,,0.1
FOUND AFT CARGO UPLOCK LIGHT INDICATOR NOT ILLUMINATE,REPLACEMENT OF BULB IPC 52-71-21-05 FIG,GAH210E2,,0.1
FOUND FWD CARGO UPLOCK LIGHT INDICATOR NOT ILL,REPLACEMENT OF BULB IPC 52-71-21-05 FIG,GAH210A1,,0.1
FOUND DISBONDING AT BULK CARGO CEILING FIN 161DC,"OBEY ALL WARNINGS, CAUTIONS AND NOTES AS",W302,,0.1
FOUND DISBONDING AT BULK CARGO CEILING FIN 161DC,DO DETAIL VISUAL INSPECTIONS TO DETERMIN,W302,,0.1
FOUND DISBONDING AT BULK CARGO CEILING FIN 161DC,PERFORM PERMANENT REPAIR ON BULK CARGO L,W302,,0.1
FOUND DISBONDING AT BULK CARGO CEILING FIN 161DC,APPLY A/C INTERIOR PAINT AS EXISTING COL,W403,,0.1
FOUND SIDE WALL CARGO PUNCTURE FIN 161AW,"OBEY ALL WARNINGS, CAUTIONS AND NOTES AS",W302,,0.1
FOUND SIDE WALL CARGO PUNCTURE FIN 161AW,DO DETAIL VISUAL INSPECTIONS TO DETERMIN,W302,LA2K2B100DH0000:F6198 (FCPC-FLIGHT CONTROL PRIMARY COMPUTER),3
FOUND SIDE WALL CARGO PUNCTURE FIN 161AW,PERFORM PERMANENT REPAIR ON BULK CARGO L,W302,,0.5
FOUND SIDE WALL CARGO PUNCTURE FIN 161AW,APPLY A/C INTERIOR PAINT AS EXISTING COL,W403,,0.5
FOUND AFT CARGO DOOR SILL LATCH LOOSE,AFT CARGO DOOR SILL LATCH HANDLE LOOSE,GAH210A1,,0.5
FOUND UNDER GLARESHIELD LIGHT CAPT SIDE,UNDER GLARESHIELD LIGHT CAPT SIDE NOT IL,GAH210E2,,0.5
FOUND LH AND RH ELEVATOR TRAILING EDGE TIP FILLER PARTLY MISSING,"OBEY ALL WARNINGS, CAUTIONS, AND NOTES A",W302,,0.5
FOUND LH AND RH ELEVATOR TRAILING EDGE TIP FILLER PARTLY MISSING,MEASURE THE FILLER DAMAGE,W302,,0.5
FOUND LH AND RH ELEVATOR TRAILING EDGE TIP FILLER PARTLY MISSING,DO PERMANENT REPAIR TO ELEVATOR FILLER D,W302,,0.5
FOUND LH AND RH ELEVATOR TRAILING EDGE TIP FILLER PARTLY MISSING,RESTORE SURFACE PROTECTION TREATMENT AND,W403,,0.5
"FOUND ENG #2 CNA UPPER SIDE POS12 O,CLOC",NEED RO,GAH210A1,,0.5
FOUND ENG#1 LP FAN CASE HOLE POS 06 O'CL,NEED RO,GAH210A1,,0.5
FOUND ENG#1 INTAKE RIVET BAD CONDITION,"OBEY ALL WARNINGS, CAUTIONS, AND NOTES A",W301,,0.5
FOUND ENG#1 INTAKE RIVET BAD CONDITION,PERFORM REPLACEMENT FASTENER BAD CONDITI,W301,,0.5
FOUND ENG#1 FAN TRACK LINING DISBONDING,"OBEY ALL WARNINGS, CAUTIONS, AND NOTES A",W302,,0.5
FOUND ENG#1 FAN TRACK LINING DISBONDING,PERFORM INSPECTION AND MEASURE THE DAMAG,W302,,0.5
DURING PRILIMINARY FOUND PANEL BLOWER LAV 61 BROKEN,DO RECTIFIED PANEL BLOWER LAV L61 DUE TO,GAH210C2,964A0000-06:F1958 (VALVE-FLOW CONTROL),4
DURING PRILIMINARY FOUND WASTE DOOR COMP,DO RECTIFIED WASTE DOOR COMPARTMENT LAV,GAH210C2,"44066:0AM53 (SEAL)
C12849AB04:F9111 (CONTROL UNIT, FLIGHT-FCU)",2
PSE PERFORM BASIC INTERIOR CLEANING,PERFORM BASIC INTERIOR CLEANING,GAH2P1ZZ,,3
FOUND SYSTEM TEST OF EPSU DEU B (300RH7) FAULT,FAULT MSG EPSU DEU B (300RH7)CLASS 1 REL,GAH210E1,,6
[FINDING] DURING INSP FOUND ADULT LIFEVEST 33A MISSING,REPLACE LIFE VEST SEAT 33A REFF AMM 25-6,GAH210A1,,6
[FINDING] HOOK LOCKING TISSUE LAV L11,DO RECTIFIED HOOK LOOKING TISSUE LAV L11,GAH210A1,,0
SIGN OF LEAK FROM PRESSURE CONNECTION LINE GREEN EDP ENG #2. PSE RE- TORQUE,DO RE-TORQUE PRESSURE LINE,GAH210A1,,6
SIGN OF LEAK FROM PRESSURE CONNECTION LINE GREEN EDP ENG #2. PSE RE- TORQUE,DO LEAK CHECK WITH DRY MOTORING ENGINE,GAH210A1,,6
COMPLETED WASHER DOOR WASTE COMP L53,REMOVAL OF THE ACCESS DOOR INSIDE THE LA,GAH210C2,"4063-16083:C0002 (VALVE,ISOLATION)",3
COMPLETED WASHER DOOR WASTE COMP L53,WASHER INSTALLATION,GAH210C2,,3
COMPLETED WASHER DOOR WASTE COMP L53,PREPARATION FOR INSTALLATION,GAH210C2,,1
COMPLETED WASHER DOOR WASTE COMP L53,INSTALLATION OF THE ACCESS DOOR INSIDE T,GAH210C2,,0
COMPLETED WASHER DOOR WASTE COMP L53,OPERATIONAL TEST OF THE ACCESS DOOR INSI,GAH210C2,,1
REFF ADD ENG 2 N1 VIBRATION HIGH (4.2),"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH210A1,,2
REFF ADD ENG 2 N1 VIBRATION HIGH (4.2),DO TROUBLESHOOT HIGH N1 VIBRATION INDICA,GAH210A1,,1
REFF ADD ENG 2 N1 VIBRATION HIGH (4.2),REMOVAL OF THE LP COMPRESSOR BLADES AND,GAH210A1,,0
REFF ADD ENG 2 N1 VIBRATION HIGH (4.2),DO CLEAN UP,GAH210A1,,1
REFF ADD ENG 2 N1 VIBRATION HIGH (4.2),APPLY RE-LUBRICATION ON FAN BLADE,GAH210A1,,1
REFF ADD ENG 2 N1 VIBRATION HIGH (4.2),INSTALLATION OF THE LP COMPRESSOR BLADES,GAH210A2,,1
REFF ADD ENG 2 N1 VIBRATION HIGH (4.2),DO TEST NO.11 THE ENGINE VIBRATION SURVE,GAH210A1,,1
REFF ADD ENG 2 N1 VIBRATION HIGH (4.2),RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH210A1,,2
LH WING REFUEL PANEL OPENNING BUTTON TEMPORARY REPAIRED,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH210A1,"E0242A115B0:F5442 (RELAY)
SP3062C:F8769 (UNIT, TRANSFORMER RECTIFIER)",4
LH WING REFUEL PANEL OPENNING BUTTON TEMPORARY REPAIRED,REPLACE LATCH AT LH WING REFUEL PANEL,GAH210A1,"A06000:C3406 (ACTUATOR, FIRE SOV (CDCCL))",2
LH WING REFUEL PANEL OPENNING BUTTON TEMPORARY REPAIRED,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH210A1,,0.5
LH WING SLEEVE SLAT NO 2 INBOARD SIDE TORN,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH210A1,,3
LH WING SLEEVE SLAT NO 2 INBOARD SIDE TORN,REPLACE SEAL AT SLAT NO#2 INBOARD SIDE,GAH210A1,,0
LH WING SLEEVE SLAT NO 2 INBOARD SIDE TORN,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH210A1,,1
REFUELING PANEL FLOOD LIGHT NOT ILL 2 EA,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH210E1,,1
REFUELING PANEL FLOOD LIGHT NOT ILL 2 EA,REPLACE LAMP FOOD LIGHT AT REFUELING PAN,GAH210E1,,0.2
REFUELING PANEL FLOOD LIGHT NOT ILL 2 EA,DO A TEST OF THE LIGHT,GAH210E1,,0.2
REFUELING PANEL FLOOD LIGHT NOT ILL 2 EA,RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH210E1,3-1547:0ZC54 (NOSE WHEEL ASSY A330-341 (ONLY)),4
SCREW OVEN FOUND CORROSION 18EA,"OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,,2
SCREW OVEN FOUND CORROSION 18EA,REMOVE THE SCREW OVEN,GAH310C1,,0
SCREW OVEN FOUND CORROSION 18EA,INSTALL THE SERVICEABLE SCREW FOR OVEN,GAH310C1,,2
"LENS COVER ""CABIN PRESSURE"" DOOR 1RH FOUND BROKE","OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH310C1,,0.1
"LENS COVER ""CABIN PRESSURE"" DOOR 1RH FOUND BROKE","REPLACE THE LENS COVER INDICATOR LIGHT """,GAH310C1,B494AAM0618:F9111 (FCMC (ETOPS; CDCCL)),6
"LENS COVER ""CABIN PRESSURE"" DOOR 1RH FOUND BROKE",RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH310C1,B494AAM0618:F9111 (FCMC (ETOPS; CDCCL)),0
"EXTERNAL LIGHT LAMP NOT ILL 6 EA (EXT POWER A AVAIL, AVIONIC VENT, COCKPIT CALL, ADIRU, ELT, EXT POWER B NOT IN USE)","OBEY ALL OF THE WARNINGS, CAUTIONS, AND",GAH210E1,007LG049G:K8081 (L.G. CONTROL+INTERFACE UNIT),4
"EXTERNAL LIGHT LAMP NOT ILL 6 EA (EXT POWER A AVAIL, AVIONIC VENT, COCKPIT CALL, ADIRU, ELT, EXT POWER B NOT IN USE)",REPLACE LAMP AT EXTERNAL LIGHT,GAH210E1,,3
"EXTERNAL LIGHT LAMP NOT ILL 6 EA (EXT POWER A AVAIL, AVIONIC VENT, COCKPIT CALL, ADIRU, ELT, EXT POWER B NOT IN USE)",DO TEST OF THE LIGHT,GAH210E1,,1
"EXTERNAL LIGHT LAMP NOT ILL 6 EA (EXT POWER A AVAIL, AVIONIC VENT, COCKPIT CALL, ADIRU, ELT, EXT POWER B NOT IN USE)",RESTORE AREA BACK TO ITS SERVICEABLE CON,GAH210E1,"3711-00:F9211 (FIRE DETECTION UNIT)
3710-00-00:F9211 (UNIT, FIRE DETECTION)",2
ENG #1 NOSE COWL HAS SIGN OF ERROSION (POS 04.00 & 06.00 O'CLOCK),"OBEY ALL THE WARNINGS, CAUTIONS, AND NOT",W301,,3
ENG #1 NOSE COWL HAS SIGN OF ERROSION (POS 04.00 & 06.00 O'CLOCK),PERFORM BLEND OUT EROSION DAMAGE AT NOSE,W301,,1
ENG #1 NOSE COWL HAS SIGN OF ERROSION (POS 04.00 & 06.00 O'CLOCK),PERFORM HFEC INSPECTION TO MAKE SURE NO,W807,,2
ENG #1 NOSE COWL HAS SIGN OF ERROSION (POS 04.00 & 06.00 O'CLOCK),PERFORM AN ULTRASONIC (UT) INSPECTION IN,W808,,2
ENG #1 NOSE COWL HAS SIGN OF ERROSION (POS 04.00 & 06.00 O'CLOCK),JUSTIFY THE REMAINING THICKNESS OF BLEND,W301,A2017588:F9111 (PAPER),0
